manga_mangadb_id,manga_title,manga_volumes,manga_chapters,my_id,my_read_volumes,my_read_chapters,my_start_date,my_finish_date,my_scanalation_group,my_score,my_storage,my_retail_volumes,my_status,my_comments,my_times_read,my_tags,my_priority,my_reread_value,my_rereading,my_discuss,my_sns,update_on_import
3,20th Century Boys,22,249,58645891,22,249,0000-00-00,0000-00-00,,10,,0,Completed,,0,,Low,,NO,YES,default,0
743,21st Century Boys,2,16,61431179,2,16,0000-00-00,0000-00-00,,9,,0,Completed,,0,,Low,,NO,YES,default,0
664,Akira,6,120,58645915,0,0,0000-00-00,0000-00-00,,0,,0,Plan to Read,,0,,Low,,NO,YES,default,0
9711,Bakuman.,20,176,59486093,20,176,0000-00-00,0000-00-00,,7,,0,Completed,,0,,Low,,NO,YES,default,0
10010,Beelzebub,28,250,61431204,28,250,0000-00-00,0000-00-00,,8,,0,Completed,,0,,Low,,NO,YES,default,0
2,Berserk,0,0,58645863,0,0,0000-00-00,0000-00-00,,9,,0,Reading,,0,,Low,,NO,YES,default,0
11054,Billy Bat,20,165,157771303,20,165,0000-00-00,0000-00-00,,9,,0,Completed,,0,,Low,,NO,YES,default,0
12,Bleach,74,705,58658393,74,705,0000-00-00,0000-00-00,,6,,0,Completed,,0,,Low,,NO,YES,default,0
75989,Boku no Hero Academia,42,0,61431171,0,0,0000-00-00,0000-00-00,,6,,0,On-Hold,,0,,Low,,NO,YES,default,0
583,Claymore,27,159,61431153,27,159,0000-00-00,0000-00-00,,7,,0,Completed,,0,,Low,,NO,YES,default,0
21,Death Note,12,108,58658412,12,108,0000-00-00,0000-00-00,,8,,0,Completed,,0,,Low,,NO,YES,default,0
103897,Dr. Stone,27,237,59486088,0,0,0000-00-00,0000-00-00,,8,,0,Reading,,0,,Low,,NO,YES,default,0
12586,Eden no Ori,21,185,58658445,21,185,0000-00-00,0000-00-00,,4,,0,Completed,,0,,Low,,NO,YES,default,0
598,Fairy Tail,63,549,61431215,63,549,0000-00-00,0000-00-00,,4,,0,Dropped,,0,,Low,,NO,YES,default,0
1131,Freesia,12,84,58658374,12,84,0000-00-00,0000-00-00,,9,,0,Completed,,0,,Low,,NO,YES,default,0
14582,Gamaran,22,194,58658434,22,194,0000-00-00,0000-00-00,,6,,0,Completed,,0,,Low,,NO,YES,default,0
564,Gantz,37,383,61431191,37,383,0000-00-00,0000-00-00,,7,,0,Completed,,0,,Low,,NO,YES,default,0
107909,Grashros,5,47,64014503,0,0,0000-00-00,0000-00-00,,1,,0,Reading,,0,,Low,,NO,YES,default,0
35243,Haikyuu!!,45,407,58645911,0,0,0000-00-00,0000-00-00,,0,,0,Plan to Read,,0,,Low,,NO,YES,default,0
7,Hajime no Ippo,0,0,58645933,0,0,0000-00-00,0000-00-00,,9,,0,Reading,,0,,Low,,NO,YES,default,0
2924,Historie,0,0,58658496,0,0,0000-00-00,0000-00-00,,0,,0,Reading,,0,,Low,,NO,YES,default,0
936,Homunculus,15,166,58658405,15,166,0000-00-00,0000-00-00,,7,,0,Completed,,0,,Low,,NO,YES,default,0
26,Hunter x Hunter,0,0,58645926,0,0,0000-00-00,0000-00-00,,9,,0,Completed,,0,,Low,,NO,YES,default,0
1630,JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu,7,69,111437877,0,0,0000-00-00,0000-00-00,,7,,0,Reading,,0,,Low,,NO,YES,default,0
16765,Kingdom,0,0,58645898,0,0,0000-00-00,0000-00-00,,7,,0,Reading,,0,,Low,,NO,YES,default,0
401,Kiseijuu,10,64,58645728,10,64,0000-00-00,0000-00-00,,6,,0,Completed,,0,,Low,,NO,YES,default,0
56805,Koe no Katachi,7,64,59107661,0,0,0000-00-00,0000-00-00,,0,,0,Reading,,0,,Low,,NO,YES,default,0
7375,Kokou no Hito,17,170,158691702,17,170,0000-00-00,0000-00-00,,0,,0,Completed,,0,,Low,,NO,YES,default,0
932,Koroshiya 1,10,114,58658439,10,114,0000-00-00,0000-00-00,,6,,0,Completed,,0,,Low,,NO,YES,default,0
11652,Kuroko no Basket,30,276,58658449,30,276,0000-00-00,0000-00-00,,7,,0,Completed,,0,,Low,,NO,YES,default,0
91941,Made in Abyss,0,0,65692654,0,0,0000-00-00,0000-00-00,,0,,0,Plan to Read,,0,,Low,,NO,YES,default,0
14790,Magi,37,369,58658485,0,0,0000-00-00,0000-00-00,,6,,0,Dropped,,0,,Low,,NO,YES,default,0
60783,Mob Psycho 100,16,109,58658461,0,0,0000-00-00,0000-00-00,,8,,0,Reading,,0,,Low,,NO,YES,default,0
1,Monster,18,162,58645879,18,162,0000-00-00,0000-00-00,,9,,0,Completed,,0,,Low,,NO,YES,default,0
418,Mushishi,10,50,73655620,0,0,0000-00-00,0000-00-00,,0,,0,Plan to Read,,0,,Low,,NO,YES,default,0
44485,Nanatsu no Taizai,41,364,67522297,0,0,0000-00-00,0000-00-00,,6,,0,On-Hold,,0,,Low,,NO,YES,default,0
11,Naruto,72,700,61431185,72,700,0000-00-00,0000-00-00,,7,,0,Completed,,0,,Low,,NO,YES,default,0
29983,Noblesse,0,544,58658478,0,0,0000-00-00,0000-00-00,,6,,0,Dropped,,0,,Low,,NO,YES,default,0
13,One Piece,0,0,58645896,0,0,0000-00-00,0000-00-00,,9,,0,Reading,,0,,Low,,NO,YES,default,0
44347,One Punch-Man,0,0,58645906,0,0,0000-00-00,0000-00-00,,8,,0,Reading,,0,,Low,,NO,YES,default,0
81669,Overlord,0,0,73655623,0,0,0000-00-00,0000-00-00,,0,,0,Plan to Read,,0,,Low,,NO,YES,default,0
745,Pluto,8,65,60526962,0,0,0000-00-00,0000-00-00,,0,,0,Reading,,0,,Low,,NO,YES,default,0
3438,Psyren,16,145,58658402,16,145,0000-00-00,0000-00-00,,7,,0,Completed,,0,,Low,,NO,YES,default,0
657,Real,0,0,73655635,0,0,0000-00-00,0000-00-00,,0,,0,Plan to Read,,0,,Low,,NO,YES,default,0
727,Shamo,34,338,58658428,34,338,0000-00-00,0000-00-00,,8,,0,Completed,,0,,Low,,NO,YES,default,0
8586,The Breaker,10,72,58658415,0,0,0000-00-00,0000-00-00,,5,,0,On-Hold,,0,,Low,,NO,YES,default,0
22651,The Breaker: New Waves,20,203,61431220,0,0,0000-00-00,0000-00-00,,6,,0,On-Hold,,0,,Low,,NO,YES,default,0
33327,Tokyo Ghoul,14,144,58645930,0,0,0000-00-00,0000-00-00,,6,,0,Dropped,,0,,Low,,NO,YES,default,0
81117,Tokyo Ghoul:re,16,181,58658422,0,0,0000-00-00,0000-00-00,,4,,0,Dropped,,0,,Low,,NO,YES,default,0
7887,Toriko,43,396,58658491,43,396,0000-00-00,0000-00-00,,7,,0,Completed,,0,,Low,,NO,YES,default,0
656,Vagabond,37,327,58645902,0,0,0000-00-00,0000-00-00,,8,,0,Reading,,0,,Low,,NO,YES,default,0
1076,Vagrant Soldier Ares,26,207,58658385,26,207,0000-00-00,0000-00-00,,9,,0,Completed,,0,,Low,,NO,YES,default,0
642,Vinland Saga,0,0,58645920,0,0,0000-00-00,0000-00-00,,8,,0,Reading,,0,,Low,,NO,YES,default,0
100128,Yakusoku no Neverland,20,181,61379401,0,0,0000-00-00,0000-00-00,,9,,0,Reading,,0,,Low,,NO,YES,default,0
